date,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average , RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,BWI,close
2000-02-17,5.64,-0.54,-0.57,-3.32,0.00,0.00,0.00,5.67,5.57,5.63,5.84,5.51,5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.384356602,-0.067786538,-0.050118447,-0.017668091,5.829443752,5.498726248,0.406596794,99.26018044,0.196611126,0.058388514,5.64
2000-02-18,5.59,-0.88,-0.88,-3.43,0.00,0.00,0.00,5.67,5.57,5.62,5.84,5.51,5.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.419156184,-0.065391026,-0.055924929,-0.009466097,5.810448816,5.497851184,0.25431566,99.14270531,0.197106463,0.055286406,5.59
2000-02-21,5.52,-1.30,-0.96,-4.11,0.00,0.00,0.00,5.67,5.52,5.60,5.84,5.51,5.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.455049787,-0.05841859,-0.058538034,0.000119444,5.801232526,5.483397474,0.029284834,98.99719257,0.200698326,0.056330611,5.52
2000-02-22,5.43,-1.72,-2.89,-4.83,0.00,0.00,0.00,5.67,5.43,5.57,5.84,5.43,5.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.463295025,-0.062010256,-0.060496083,-0.001514174,5.81154644,5.44556356,0,98.82407783,0.20616761,0.065022529,5.43
2000-02-23,5.45,0.39,-4.00,-3.83,0.00,0.00,0.00,5.64,5.43,5.53,5.84,5.43,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.455586207,-0.063009615,-0.062593447,-0.000416168,5.816705391,5.418704609,0.051012936,98.70456289,0.206733778,0.070847576,5.45
2000-02-24,5.33,-2.11,-5.52,-7.89,0.00,0.00,0.00,5.59,5.33,5.46,5.84,5.33,5.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.365972971,-0.068048718,-0.065543732,-0.002504986,5.814710172,5.375039828,0,98.38689369,0.197695532,0.07858448,5.33
2000-02-25,5.33,-0.03,-4.71,-8.66,0.00,0.00,0.00,5.52,5.33,5.41,5.72,5.33,5.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.402514254,-0.07488141,-0.067808262,-0.007073148,5.788701755,5.350498245,0,98.07572439,0.193014453,0.078677734,5.33
2000-02-28,5.36,0.54,-2.93,-6.27,0.00,0.00,0.00,5.45,5.33,5.38,5.68,5.33,5.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.386252908,-0.084592308,-0.068977422,-0.015614886,5.778178013,5.325181987,0.082826528,97.92060178,0.186380975,0.081596206,5.36
2000-02-29,5.44,1.46,0.21,-2.63,0.00,0.00,0.00,5.45,5.33,5.38,5.68,5.33,5.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.423975283,-0.08944359,-0.070398006,-0.019045584,5.775774812,5.312915188,0.310165074,97.95586395,0.180277655,0.083483193,5.44
2000-03-01,5.42,-0.41,-0.59,-3.21,0.00,0.00,0.00,5.44,5.33,5.38,5.68,5.33,5.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.456449172,-0.091698718,-0.073054915,-0.018643803,5.772341199,5.298388801,0.245293947,97.963706,0.180121329,0.08562261,5.42
