date,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average , RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,BWI,close
2000-02-17,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.83,0,0,0,0,0,0,0,0,0,0,0.067307692,0.026175214,0.041132479,5.060081173,4.589918827,1,101.2060829,0.181349181,0.097442973,5
2000-02-18,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.84,0,0,0,0,0,0,0,0,0,0,0.078525641,0.034900285,0.043625356,5.082180242,4.592819758,1,101.3752456,0.181349181,0.10115979,5
2000-02-21,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.85,0,0,0,0,0,0,0,0,0,0,0.08974359,0.044871795,0.044871795,5.101312345,4.598687655,1,101.5394089,0.181349181,0.103633957,5
2000-02-22,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.86,0,0,0,0,0,0,0,0,0,0,0.100961538,0.056089744,0.044871795,5.117708893,4.607291107,1,101.6993464,0.181349181,0.104970239,5
2000-02-23,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.88,0,0,0,0,0,0,0,0,0,0,0.112179487,0.067307692,0.044871795,5.131494588,4.618505412,1,101.8556701,0.181349181,0.105228549,5
2000-02-24,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.89,0,0,0,0,0,0,0,0,0,0,0.123397436,0.078525641,0.044871795,5.142708893,4.632291107,1,102.0088703,0.181349181,0.104433307,5
2000-02-25,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.9,0,0,0,0,0,0,0,0,0,0,0.134615385,0.08974359,0.044871795,5.151312345,4.648687655,1,102.1099245,0.181349181,0.102576467,5
2000-02-28,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.91,0,0,0,0,0,0,0,0,0,0,0.125,0.098646724,0.026353276,5.157180242,4.667819758,1,102.1973736,0.181349181,0.099615366,5
2000-02-29,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.93,0,0,0,0,0,0,0,0,0,0,0.115384615,0.105235043,0.010149573,5.160081173,4.689918827,1,102.2712524,0.181349181,0.095464436,5
2000-03-01,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.94,0,0,0,0,0,0,0,0,0,0,0.105769231,0.109508547,-0.003739316,5.159630829,4.715369171,1,102.3316062,0.181349181,0.089977045,5
2000-03-02,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.95,0,0,0,0,0,0,0,0,0,0,0.096153846,0.111467236,-0.01531339,5.15519567,4.74480433,1,102.3784902,0.181349181,0.082907342,5
2000-03-03,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.96,0,0,0,0,0,0,0,0,0,0,0.086538462,0.111111111,-0.02457265,5.145673774,4.779326226,1,102.4119696,0.181349181,0.073823184,5
2000-03-06,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.98,0,0,0,0,0,0,0,0,0,0,0.076923077,0.108440171,-0.031517094,5.128896753,4.821103247,1,102.4321194,0.181349181,0.061868041,5
2000-03-07,5,0,0,5.26,0,0,0,5,5,5,5,4.75,4.99,0,0,0,0,0,0,0,0,0,0,0.067307692,0.103454416,-0.036146724,5.099303399,4.875696601,1,102.4390244,0.181349181,0.044833443,5
2000-03-08,5,0,0,5.26,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.057692308,0.096153846,-0.038461538,5,5,0,102.4327785,0.181349181,0,5
2000-03-09,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.048076923,0.086538462,-0.038461538,5,5,0,102.184187,0,0,5
2000-03-10,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.038461538,0.076923077,-0.038461538,5,5,0,101.9497897,0,0,5
2000-03-13,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.028846154,0.067307692,-0.038461538,5,5,0,101.7293998,0,0,5
2000-03-14,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.019230769,0.057692308,-0.038461538,5,5,0,101.5228426,0,0,5
2000-03-15,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.009615385,0.048076923,-0.038461538,5,5,0,101.3299557,0,0,5
2000-03-16,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.038461538,-0.038461538,5,5,0,101.1505879,0,0,5
2000-03-17,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.02991453,-0.02991453,5,5,0,100.9845998,0,0,5
2000-03-20,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.022435897,-0.022435897,5,5,0,100.8318629,0,0,5
2000-03-21,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.016025641,-0.016025641,5,5,0,100.6922593,0,0,5
2000-03-22,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.010683761,-0.010683761,5,5,0,100.565682,0,0,5
2000-03-23,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.006410256,-0.006410256,5,5,0,100.4520342,0,0,5
2000-03-24,5,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.003205128,-0.003205128,5,5,0,100.3512293,0,0,5
