date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-02-17,1734.27,1770.88,1615.63,1640.65,-3.1,6.88,14.46,0,0,0,1693.11,1535,1642.67,1693.11,1465.09,1548.51,1693.11,1406.37,1510.02,1693.11,1406.37,1510.02,1693.11,1406.37,1510.02,76.95877617,0.743309843,57.90185897,43.2604943,14.64136467,1682.716531,1414.303469,0.769932462,101.2542597,0.339775374,98.96842633,500.1637692,0.173336344,1640.65
2000-02-18,1623.96,1668.16,1583.58,1668.09,1.67,8.67,16.93,0,0,0,1693.11,1640.65,1669.29,1693.11,1476.51,1558.66,1693.11,1406.37,1514.67,1693.11,1406.37,1514.67,1693.11,1406.37,1514.67,75.51234448,0.693133638,59.62153846,46.31105413,13.31048433,1696.945857,1420.374143,0.884487535,101.4951248,0.340907998,103.6651177,322.8602552,0.177441978,1668.09
2000-02-21,1681.36,1697.01,1652.48,1677.14,0.54,0.19,14.47,0,0,0,1693.11,1640.65,1669.93,1693.11,1476.51,1568.65,1693.11,1406.37,1519.31,1693.11,1406.37,1519.31,1693.11,1406.37,1519.31,70.84167935,0.639672841,61.14769231,49.11683761,12.0308547,1711.008119,1426.291881,0.926269621,101.7099573,0.340856972,100.4976193,335.8026613,0.181503993,1677.14
2000-02-22,1681.3,1687.51,1627.47,1632.29,-2.67,-2.3,11.41,0,0,0,1693.11,1632.29,1662.26,1693.11,1481.12,1576.44,1693.11,1406.37,1522.45,1693.11,1406.37,1522.45,1693.11,1406.37,1522.45,64.80214831,0.596035866,61.60288462,51.98900997,9.613874644,1714.553835,1438.324165,0.713099675,101.7704259,0.36029663,86.12378437,249.6419509,0.175223825,1632.29
2000-02-23,1618.01,1630.55,1586.63,1594.93,-2.29,-5.8,8.86,0,0,0,1677.14,1594.93,1642.62,1693.11,1506.77,1582.13,1693.11,1406.37,1524.4,1693.11,1406.37,1524.4,1693.11,1406.37,1524.4,57.89633446,0.589232006,60.12358974,54.69079772,5.432792023,1712.890979,1451.368021,0.473113663,101.6887006,0.373835606,82.38900398,200.9654472,0.165298074,1594.93
2000-02-24,1593.95,1634.32,1593.93,1634.31,2.47,-0.39,10.63,0,0,0,1677.14,1594.93,1641.35,1693.11,1535,1588.51,1693.11,1406.37,1527.3,1693.11,1406.37,1527.3,1693.11,1406.37,1527.3,55.61864335,0.579117593,60.95365385,57.28960114,3.664052707,1716.197417,1460.815583,0.628107014,101.6457935,0.37810609,90.39543208,202.4640101,0.160768517,1634.31
2000-02-25,1639.92,1650.37,1618.18,1631.58,-0.17,-2.19,10.5,0,0,0,1677.14,1594.93,1634.05,1693.11,1535,1593.34,1693.11,1406.37,1529.97,1693.11,1406.37,1529.97,1693.11,1406.37,1529.97,50.1957105,0.627778366,62.66660256,59.20325499,3.463347578,1719.805472,1466.865528,0.610840554,101.5032844,0.374648238,82.94904717,180.0248242,0.158748702,1631.58
2000-02-28,1639.8,1704.88,1639.7,1704.86,4.49,1.65,11.07,0,0,0,1704.86,1594.93,1639.59,1704.86,1535,1601.83,1704.86,1406.37,1534.34,1704.86,1406.37,1534.34,1704.86,1406.37,1534.34,45.46936419,0.647836373,67.59967949,60.94540598,6.654273504,1734.467041,1469.189959,1,101.5675929,0.401200117,100.5134441,217.6641836,0.165608917,1704.86
2000-02-29,1728.14,1733.14,1678.35,1714.58,0.57,5.04,11.7,0,0,0,1714.58,1594.93,1656.05,1714.58,1535,1610.81,1714.58,1406.37,1538.74,1714.58,1406.37,1538.74,1714.58,1406.37,1538.74,38.91140301,0.619213903,73.4400641,62.78417379,10.65589031,1748.610618,1473.004382,1,101.6423022,0.400724908,89.78420351,206.3516475,0.171098182,1714.58
2000-03-01,1720.6,1721.14,1692.51,1697.74,-0.98,6.45,10.6,0,0,0,1714.58,1631.58,1676.61,1714.58,1535,1618.94,1714.58,1406.37,1542.52,1714.58,1406.37,1542.52,1714.58,1406.37,1542.52,35.57122893,0.635401958,66.91455128,63.78558405,3.128967236,1757.118561,1480.770439,0.906225638,101.6604311,0.404023608,84.27432858,192.5361497,0.170696477,1697.74
