date,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average , RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,BWI,close
2000-02-17,6.57,0.40,-1.66,-3.19,0.00,0.00,0.00,6.60,6.54,6.56,6.77,6.44,6.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.522324199,-0.060521859,-0.036816667,-0.023705192,6.763775417,6.468279583,0.386154776,99.51309829,0.1366301,0.044663634,6.57
2000-02-18,6.49,-1.15,-1.58,-4.12,0.00,0.00,0.00,6.57,6.49,6.54,6.69,6.44,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.532175139,-0.061378397,-0.043561225,-0.017817172,6.741085342,6.463093658,0.206188835,99.34670355,0.141117215,0.042106622,6.49
2000-02-21,6.49,0.00,-0.99,-2.92,0.00,0.00,0.00,6.57,6.49,6.53,6.69,6.44,6.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.530022084,-0.049832885,-0.047466581,-0.002366303,6.733763948,6.450860052,0.206188835,99.24630302,0.135960062,0.042914215,6.49
2000-02-22,6.35,-2.11,-3.08,-5.04,0.00,0.00,0.00,6.57,6.35,6.49,6.68,6.35,6.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.481845456,-0.052506474,-0.050595107,-0.001911368,6.744797999,6.406108001,0,99.04793292,0.152550571,0.051508238,6.35
2000-02-23,6.42,1.01,-1.88,-3.69,0.00,0.00,0.00,6.57,6.35,6.46,6.68,6.35,6.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.524369129,-0.058522115,-0.053907642,-0.004614473,6.740940559,6.385391441,0.197546505,98.92205515,0.158735411,0.054173415,6.42
2000-02-24,6.35,-1.06,-3.30,-4.91,0.00,0.00,0.00,6.49,6.35,6.42,6.68,6.35,6.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.482992144,-0.065469359,-0.057090954,-0.008378405,6.739845222,6.353690778,0,98.74031988,0.160948819,0.058983982,6.35
2000-02-25,6.33,-0.30,-2.47,-4.62,0.00,0.00,0.00,6.49,6.33,6.39,6.68,6.33,6.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.433926329,-0.07353359,-0.059867286,-0.013666303,6.742204015,6.320701985,0,98.59713823,0.160400581,0.06453419,6.33
2000-02-28,6.42,1.45,-1.06,-3.61,0.00,0.00,0.00,6.42,6.33,6.38,6.68,6.33,6.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47850271,-0.081454038,-0.062765007,-0.018689031,6.726101636,6.312778364,0.263844868,98.51508729,0.169792143,0.063398585,6.42
2000-02-29,6.41,-0.20,0.87,-3.10,0.00,0.00,0.00,6.42,6.33,6.39,6.68,6.33,6.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.527118559,-0.086306154,-0.065502764,-0.02080339,6.716375672,6.302005328,0.22673313,98.47165653,0.168598821,0.063659274,6.41
2000-03-01,6.38,-0.40,-0.54,-2.78,0.00,0.00,0.00,6.42,6.33,6.38,6.68,6.33,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55982447,-0.088835128,-0.068648682,-0.020186446,6.712676047,6.287437953,0.15274016,98.45080311,0.167535088,0.065420671,6.38
2000-03-02,6.38,0.01,0.54,-0.85,0.00,0.00,0.00,6.42,6.33,6.39,6.68,6.33,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.509938602,-0.092398141,-0.072095321,-0.020302821,6.714615564,6.280007436,0.154123206,98.52531678,0.153303949,0.066890456,6.38
