date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-02-17,7478.32,7637.46,7394.02,7580.53,1.2,-1.67,4.43,29.14,44.12,57.26,7644.8,7396.13,7544.67,7709.27,6809.64,7283.06,7709.27,5818.73,6752.14,7709.27,5119.1,6095.44,7709.27,4668.52,5617.08,35.52426671,0.405922438,246.6176282,174.2583618,72.35926638,7873.360864,6692.766136,0.856896724,100.429633,0.326150699,129.8028782,130.5343199,0.162101391,7580.53
2000-02-18,7584.39,7658.88,7543.5,7573.78,-0.09,-0.5,7.09,27.29,44.8,55.48,7644.8,7396.13,7537.11,7709.27,6809.64,7312.12,7709.27,5888.88,6781.39,7709.27,5119.1,6114.25,7709.27,4668.52,5627.72,34.91869667,0.497199365,256.3419231,191.0507692,65.29115385,7899.436575,6724.793425,0.84939364,100.5275437,0.317898869,144.473775,147.3068287,0.160643419,7573.78
2000-02-21,7568.34,7590.53,7447.71,7590.53,0.22,-0.71,8.55,27.44,44.47,57.37,7590.53,7396.13,7526.26,7709.27,6809.64,7345.04,7709.27,5888.88,6808.54,7709.27,5119.1,6134.26,7709.27,4668.52,5638.62,30.70276158,0.453797806,259.9807051,206.5039174,53.47678775,7916.251733,6773.832267,0.868012405,100.6692112,0.314475057,134.6429394,137.2296813,0.155536138,7590.53
2000-02-22,7580.38,7725.5,7540.36,7607.94,0.23,2.86,8.8,30.72,44.8,55.65,7607.94,7490.32,7568.62,7709.27,6835.6,7384.96,7709.27,5888.88,6836.04,7709.27,5119.1,6153.19,7709.27,4668.52,5649.32,28.37620676,0.427851273,260.1669231,219.9766168,40.19030627,7908.191589,6861.722411,0.884017993,100.8912556,0.30352143,150.5969047,152.4847886,0.141702813,7607.94
2000-02-23,7619.83,7772.28,7619.83,7698.97,1.2,2.79,10.1,32.4,45.21,53.59,7698.97,7573.78,7610.35,7709.27,6835.6,7421.44,7709.27,5896.04,6866.21,7709.27,5119.1,6172.34,7709.27,4668.52,5659.9,28.15176843,0.402978499,269.6114744,231.3277778,38.28369658,7923.999773,6918.874227,0.988210652,101.0544051,0.297449978,151.2059003,150.4456893,0.135435435,7698.97
2000-02-24,7696.92,7813.2,7587.08,7640.53,-0.76,0.79,10.22,31.31,43.51,51.05,7698.97,7573.78,7622.35,7709.27,6835.6,7447.16,7709.27,5933.84,6895.28,7709.27,5119.1,6191.08,7709.27,4668.52,5670.07,28.76955373,0.42856025,256.0314103,240.0813248,15.95008547,7938.61445,6955.69955,0.921320407,101.0661984,0.293352459,140.3912305,137.3751037,0.131985253,7640.53
2000-02-25,7668.7,7776.84,7640.69,7738.68,1.28,2.18,13.64,29.81,43.3,57.34,7738.68,7590.53,7655.33,7738.68,6835.6,7480.76,7738.68,5937.2,6925.36,7738.68,5119.1,6210.57,7738.68,4668.52,5681.17,28.22365841,0.453526228,241.0845513,246.0632336,-4.978682336,7954.23572,7007.28628,1,101.1648509,0.291614727,147.0315856,147.8802977,0.12658464,7738.68
2000-02-28,7732.9,7747.37,7492.23,7587.13,-1.96,-0.04,7.37,27.34,39.97,54.71,7738.68,7587.13,7654.65,7738.68,7050.46,7518.34,7738.68,6097.9,6952.86,7738.68,5119.1,6228.49,7738.68,4668.52,5691.73,24.64358482,0.371979425,208.0454487,247.3340812,-39.28863248,7883.011472,7153.663528,0.779794252,101.3049673,0.27188999,147.6686192,149.5568531,0.097009205,7587.13
2000-02-29,7590.9,7700.36,7590.9,7644.55,0.76,0.48,11.83,29.66,45.04,55.89,7738.68,7587.13,7661.97,7738.68,7171.95,7548.04,7738.68,6097.9,6978.29,7738.68,5119.1,6246.49,7738.68,4668.52,5699.39,23.07736344,0.363376803,183.3892949,242.3632621,-58.97396724,7842.21769,7253.86631,0.833906799,101.3361645,0.25479723,141.2599229,142.8293098,0.07794755,7644.55
2000-03-01,7645.3,7769.01,7618.6,7727.93,1.09,0.38,9.61,30.23,45.34,61.7,7738.68,7587.13,7667.76,7738.68,7296.32,7575.84,7738.68,6097.9,7004.71,7738.68,5119.1,6265.5,7738.68,4668.52,5710.96,22.21356481,0.364661682,154.9979487,232.1832977,-77.185349,7821.442586,7330.239414,0.975698526,101.3435765,0.251530745,142.0554097,141.7341753,0.064838105,7727.93
