date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-02-17,6147.4,6262.2,6102.9,6209.3,1.01,-1.12,-6.9,-5.28,0.7,2.15,6209.3,6005.2,6124.76,6441,6005.2,6259.37,6930.2,6005.2,6512.5,6930.2,5869.2,6349.74,6930.2,5869.2,6335.95,30.67038434,0.422987867,-118.0108974,-118.2679487,0.257051282,6483.898446,6034.831554,0.468334098,93.73093031,0.224223519,107.0370913,107.0370913,0.071743203,6209.3
2000-02-18,6209.3,6264.1,6151.4,6165,-0.71,-0.46,-5.22,-5.89,-0.59,1.48,6209.3,6005.2,6119.1,6441,6005.2,6250.3,6930.2,6005.2,6507.88,6930.2,5869.2,6347.99,6930.2,5869.2,6336.31,30.14510756,0.44911004,-115.3980769,-115.6837607,0.285683761,6474.694437,6025.905563,0.366681964,93.71968431,0.225212074,109.445057,109.445057,0.071802773,6165
2000-02-21,6165,6193.6,6029.9,6081.6,-1.35,0.21,-4.17,-6.18,-1.6,0.84,6209.3,6005.2,6121.7,6441,6005.2,6235.39,6930.2,6005.2,6500.34,6930.2,5869.2,6346.62,6930.2,5869.2,6336.51,27.72005734,0.473609597,-113.4461538,-115.0763533,1.63019943,6463.156907,6007.623093,0.175309775,93.62013084,0.227688119,92.5046804,92.5046804,0.073056186,6081.6
2000-02-22,6081.6,6172.8,6002.7,6014.7,-1.1,0.16,-5.23,-6.63,-2.69,-0.91,6209.3,6014.7,6123.6,6441,6005.2,6222.42,6930.2,6005.2,6491.22,6930.2,5869.2,6344.44,6930.2,5869.2,6336.29,25.60034791,0.516936131,-102.4532051,-114.1490741,11.69586895,6469.61929,5975.22071,0.02179899,93.54604954,0.223861229,101.1731614,101.1731614,0.079454389,6014.7
2000-02-23,6014.7,6167.3,6014.7,6144.1,2.15,-0.05,-3.19,-5.97,-2.82,-0.18,6209.3,6014.7,6122.94,6441,6005.2,6210.85,6930.2,6005.2,6482.24,6930.2,5869.2,6344.01,6930.2,5869.2,6336.25,25.43275083,0.573283525,-86.46282051,-112.5923077,26.12948718,6449.37156,5972.31844,0.318724185,93.48979052,0.230129771,104.6426852,104.6426852,0.076809697,6144.1
2000-02-24,6144.1,6288.8,6070.9,6086.7,-0.93,-1.97,-4.59,-7.24,-3.62,-3.5,6165,6014.7,6098.42,6375.6,6005.2,6193.13,6930.2,6005.2,6472.27,6930.2,5869.2,6341.97,6930.2,5869.2,6335.37,25.21566828,0.602940991,-89.25833333,-110.7432336,21.48490028,6411.456218,5974.803782,0.220032397,93.34065237,0.22702975,104.1254666,104.1254666,0.070505937,6086.7
2000-02-25,6086.7,6198,6086.7,6198,1.83,0.54,-1.21,-7.25,-2.69,-0.14,6198,6014.7,6105.02,6324.3,6005.2,6184.25,6930.2,6005.2,6464.04,6930.2,5869.2,6340.48,6930.2,5869.2,6335.34,29.59200938,0.603432871,-93.24551282,-107.7531339,14.50762108,6385.072745,5983.427255,0.604199311,93.31948738,0.236798182,115.712402,115.712402,0.064946516,6198
2000-02-28,6198,6271.1,6054.1,6099.6,-1.59,0.3,-4.33,-8.75,-4.32,-1.22,6198,6014.7,6108.62,6324.3,6005.2,6175.81,6930.2,6005.2,6455.74,6930.2,5869.2,6338.74,6930.2,5869.2,6335.04,28.12530515,0.563822201,-98.77371795,-104.5224359,5.748717949,6375.914249,5975.695751,0.295832028,93.29616048,0.236011023,119.532967,119.532967,0.064804264,6099.6
2000-02-29,6099.6,6245.5,6099.6,6232.6,2.18,3.62,-0.57,-5.53,-0.22,0.93,6232.6,6086.7,6152.2,6324.3,6005.2,6172.89,6930.2,6005.2,6448.85,6930.2,5869.2,6338.56,6930.2,5869.2,6334.63,26.41570255,0.611558002,-89.83717949,-100.7650997,10.92792023,6367.564626,5978.215374,0.71262927,93.35082602,0.249178049,125.9475835,125.9475835,0.063074063,6232.6
2000-03-01,6232.6,6387.3,6232.6,6364.9,2.12,3.59,1.18,-4.23,1.41,5.02,6364.9,6086.7,6196.36,6364.9,6005.2,6176,6930.2,6005.2,6444.04,6930.2,5869.2,6339.43,6930.2,5869.2,6335.83,29.03382629,0.602366713,-68.63782051,-95.27920228,26.64138177,6381.095699,5970.894301,1,93.49151997,0.260464694,137.8074593,137.8074593,0.066418674,6364.9
2000-03-02,6364.9,6436.5,6324.2,6432.1,1.06,5.67,2.05,-3.33,3.82,6.12,6432.1,6099.6,6265.44,6432.1,6005.2,6181.39,6930.2,6005.2,6438.87,6930.2,5869.2,6341.44,6930.2,5869.2,6337.3,29.84912477,0.590743274,-35.23589744,-86.37229345,51.13639601,6407.486638,5955.283362,1,93.66302858,0.262708846,137.466902,137.466902,0.073155656,6432.1
2000-03-03,6432.1,6506.3,6403,6487.5,0.86,4.67,2.58,-3.78,2.45,7.26,6487.5,6099.6,6323.34,6487.5,6005.2,6196.51,6930.2,6005.2,6435.43,6930.2,5869.2,6344.09,6930.2,5869.2,6339.04,29.35585529,0.601473527,-8.682692308,-74.73190883,66.04921652,6460.865135,5932.154865,1,93.97143115,0.249288025,153.9818712,153.9818712,0.085323879,6487.5
2000-03-06,6487.5,6593.3,6457,6567.8,1.24,7.68,6.19,-1.89,3.01,5.84,6567.8,6232.6,6416.98,6567.8,6005.2,6218.97,6930.2,6005.2,6433.88,6930.2,5869.2,6347.86,6930.2,5869.2,6341.42,29.19285541,0.591428497,13.8,-61.81488604,75.61488604,6528.007399,5909.932601,1,94.37488487,0.246578163,165.9587071,165.9587071,0.099385396,6567.8
2000-03-07,6567.8,6568.3,6465.5,6466.5,-1.54,3.75,5.69,-2.92,2.49,4.21,6567.8,6364.9,6463.76,6567.8,6005.2,6228.01,6930.2,6005.2,6431.33,6930.2,5869.2,6351.18,6930.2,5869.2,6341.91,32.05588962,0.56137114,31.30961538,-48.72905983,80.03867521,6555.29588,5900.71412,0.819943121,94.56758407,0.239144144,139.1253508,139.1253508,0.10510296,6466.5
2000-03-08,6466.5,6479.7,6387.2,6411.2,-0.86,0.73,1.99,-3.15,2.52,3.26,6567.8,6411.2,6473.02,6567.8,6005.2,6232.8,6930.2,6005.2,6426.84,6930.2,5869.2,6354.49,6930.2,5869.2,6342.71,31.62735108,0.58302492,54.14935897,-32.79487179,86.94423077,6568.17551,5897.41449,0.721649485,94.69038271,0.24134917,121.1455706,121.1455706,0.107618014,6411.2
2000-03-09,6411.2,6544.2,6411.2,6532.1,1.89,1.55,3.43,-2.23,4.34,4.72,6567.8,6411.2,6493.02,6567.8,6005.2,6245.41,6930.2,6005.2,6423.38,6930.2,5869.2,6358.59,6930.2,5869.2,6343.87,34.02724271,0.573568038,88.44679487,-12.60683761,101.0536325,6606.248689,5884.571311,0.936544614,94.92316383,0.248091963,142.9313423,142.9313423,0.115553243,6532.1
2000-03-10,6532.1,6642.5,6532.1,6568.7,0.56,1.25,4.6,-2.53,6.1,5.24,6568.7,6411.2,6509.26,6568.7,6005.2,6264.18,6930.2,6005.2,6421.01,6930.2,5869.2,6362.86,6930.2,5869.2,6345.17,33.9799594,0.559278051,114.4301282,11.08247863,103.3476496,6651.675704,5876.684296,1,95.23452615,0.241187808,169.077607,169.077607,0.123717934,6568.7
2000-03-13,6568.7,6568.7,6380.6,6466.9,-1.55,-1.54,4.42,-3.63,4.83,2.94,6568.7,6411.2,6489.08,6568.7,6005.2,6284.1,6930.2,6005.2,6417.09,6930.2,5869.2,6367.1,6930.2,5869.2,6345.94,33.4412466,0.53748232,135.2711538,36.09451567,99.17663818,6670.205998,5897.984002,0.81934339,95.54532365,0.235706575,165.2753834,165.2753834,0.122885156,6466.9
2000-03-14,6466.9,6539.7,6457.1,6487.1,0.31,0.32,6.9,-3.21,6.07,3.26,6568.7,6411.2,6493.2,6568.7,6014.7,6308.19,6930.2,6005.2,6414.65,6930.2,5869.2,6371.88,6930.2,5869.2,6346.5,28.63939556,0.503872874,145.1897436,59.8531339,85.33660969,6680.933828,5935.446172,0.852707581,95.90184556,0.230158541,176.7125984,176.7125984,0.118177743,6487.1
2000-03-15,6487.1,6487.1,6396.1,6447,-0.62,0.56,7.36,-2.82,6.25,3.87,6568.7,6447,6500.36,6568.7,6014.7,6323.17,6930.2,6005.2,6410.9,6930.2,5869.2,6375.86,6930.2,5869.2,6347.45,28.23279603,0.514535002,167.9397436,82.42820513,85.51153846,6692.773515,5953.566485,0.78032491,96.10882211,0.220685663,149.7056959,149.7056959,0.1169045,6447
2000-03-16,6447,6618.2,6447,6557.2,1.71,0.38,6.67,-1.72,9.02,5.73,6568.7,6447,6505.38,6568.7,6014.7,6340.57,6930.2,6005.2,6408.11,6930.2,5869.2,6381.02,6930.2,5869.2,6348.85,24.99744391,0.514171858,185.6897436,104.0251425,81.66460114,6720.214158,5960.915842,0.979241877,96.34349016,0.225156932,161.3134554,161.3134554,0.119752469,6557.2
2000-03-17,6557.2,6713.1,6504.1,6558,0.01,-0.16,5.62,-2.48,8.58,6.8,6558,6447,6503.24,6568.7,6014.7,6360.22,6930.2,6005.2,6405.22,6930.2,5869.2,6385.02,6930.2,5869.2,6350.5,23.33320675,0.503542561,191.0814103,123.7230769,67.35833333,6742.277686,5978.152314,0.980685921,96.60173312,0.222405155,171.6303318,171.6303318,0.120141437,6558
2000-03-20,6558,6653.4,6523.3,6624.5,1.01,2.44,7.45,-1.59,9.38,7.48,6624.5,6447,6534.76,6624.5,6014.7,6387.36,6930.2,6005.2,6403.84,6930.2,5869.2,6390.16,6930.2,5869.2,6353.27,26.61850308,0.48056242,190.5301282,141.414245,49.11588319,6763.167825,6011.552175,1,96.95807394,0.214627006,196.6792374,196.6792374,0.117672348,6624.5
2000-03-21,6624.5,6630.6,6543.4,6617.9,-0.1,2.02,8.82,-1.34,11.09,7.38,6624.5,6447,6560.92,6624.5,6086.7,6417.52,6930.2,6005.2,6401.99,6930.2,5869.2,6395.14,6930.2,5869.2,6354.31,27.82262707,0.504027888,180.2698718,155.4276353,24.84223647,6762.996157,6072.043843,0.98772778,97.34382077,0.208011816,187.3327759,187.3327759,0.107666562,6617.9
2000-03-22,6617.9,6692.3,6551.7,6609.6,-0.13,2.52,9.89,-1.77,11.76,7.42,6624.5,6557.2,6593.44,6624.5,6086.7,6440.8,6930.2,6005.2,6399.21,6930.2,5869.2,6399.97,6930.2,5869.2,6356.12,32.14581141,0.540182665,160.5070513,163.4343305,-2.927279202,6771.10017,6110.48983,0.972294533,97.61174934,0.199570219,167.5659824,167.5659824,0.102566584,6609.6
2000-03-23,6609.6,6617.8,6538.7,6594.6,-0.23,0.57,7.33,-2.69,10.47,8.81,6624.5,6558,6600.92,6624.5,6099.6,6466.19,6930.2,6005.2,6395.67,6930.2,5869.2,6405.17,6930.2,5869.2,6358.23,36.03219645,0.570100799,153.9820513,167.8289886,-13.84693732,6757.685865,6174.694135,0.943036769,97.89533671,0.194987298,154.5703929,154.5703929,0.090160006,6594.6
2000-03-24,6594.6,6755.1,6594.6,6738.5,2.18,2.75,10.71,-1,13.49,12,6738.5,6594.6,6637.02,6738.5,6099.6,6493.22,6930.2,6005.2,6394.05,6930.2,5869.2,6410.88,6930.2,5869.2,6361.08,36.36044604,0.603141994,160.9032051,170.6769943,-9.773789174,6780.205403,6206.224597,1,98.18966067,0.198638672,159.3906143,159.3906143,0.088397012,6738.5
2000-03-27,6738.5,6770.4,6654.4,6687.2,-0.76,0.95,7.89,-1.75,10.01,8.93,6738.5,6594.6,6649.56,6738.5,6232.6,6522.6,6738.5,6005.2,6390,6930.2,5869.2,6415.9,6930.2,5869.2,6364.35,31.53776961,0.64192926,153.7435897,171.6274217,-17.88383191,6755.046607,6290.143393,0.898596561,98.57614518,0.18944662,165.0223749,165.0223749,0.071275806,6687.2
2000-03-28,6687.2,6734.9,6623.7,6650.1,-0.55,0.49,9.03,-2.3,10.7,8.32,6738.5,6594.6,6656,6738.5,6364.9,6543.47,6738.5,6005.2,6389.74,6930.2,5869.2,6420.51,6930.2,5869.2,6365.48,33.41663791,0.657315949,138.6615385,168.3742877,-29.71274929,6738.192703,6348.747297,0.763383298,98.82483838,0.181588521,145.2069504,145.2069504,0.059516649,6650.1
2000-03-29,6650.1,6657.3,6570.3,6598.8,-0.77,-0.16,5.88,-3.47,9.6,5.53,6738.5,6594.6,6653.84,6738.5,6411.2,6555.17,6738.5,6005.2,6390.79,6930.2,5869.2,6423.83,6930.2,5869.2,6366.85,30.95764737,0.618150615,127.1878205,161.8740741,-34.68625356,6732.005175,6378.324825,0.573174458,98.93143907,0.172820847,121.354827,121.354827,0.053954454,6598.8
2000-03-30,6598.8,6598.8,6418.5,6445.2,-2.33,-2.27,3.41,-7,6.89,2.89,6738.5,6445.2,6623.96,6738.5,6411.2,6555.82,6738.5,6005.2,6390.75,6930.2,5869.2,6425.88,6930.2,5869.2,6367.57,31.8029449,0.569343877,112.1153846,153.1000712,-40.98468661,6730.828482,6380.811518,0.103880232,98.8731548,0.191229065,101.9778099,101.9778099,0.053390265,6445.2
2000-03-31,6445.2,6557.4,6385.8,6540.2,1.47,-2.94,4.94,-5.63,8.46,3.89,6687.2,6445.2,6584.3,6738.5,6411.2,6558.46,6738.5,6005.2,6391.34,6930.2,5869.2,6428.42,6930.2,5869.2,6368.53,31.57960742,0.615731763,102.4397436,143.3122507,-40.87250712,6730.697393,6386.212607,0.394133822,98.84944396,0.195901808,102.5351228,102.5351228,0.052525295,6540.2
2000-04-03,6540.2,6540.2,6437.9,6462.1,-1.19,-3.37,-0.39,-6.75,8.23,2.09,6650.1,6445.2,6539.28,6738.5,6411.2,6553.17,6738.5,6005.2,6388.92,6930.2,5869.2,6430.82,6930.2,5869.2,6369.06,32.13663839,0.629362174,84.35705128,132.6552707,-48.29821937,6730.613057,6375.726943,0.155514818,98.7167829,0.195333489,89.20424994,89.20424994,0.054154877,6462.1
2000-04-04,6462.1,6531.3,6415.5,6427,-0.54,-3.35,-0.93,-3.58,6.18,1.53,6598.8,6427,6494.66,6738.5,6411.2,6551.2,6738.5,6005.2,6387.38,6930.2,5869.2,6433.43,6930.2,5869.2,6369.28,34.93288463,0.63201565,60.84807692,121.5820513,-60.73397436,6733.512161,6368.877839,0.048273755,98.63818686,0.18845384,98.38009611,98.38009611,0.055659208,6427
2000-04-05,6427,6428.5,6283.2,6379.3,-0.74,-3.33,-1.67,-2.4,4.85,0.78,6540.2,6379.3,6450.76,6738.5,6379.3,6549.6,6738.5,6005.2,6384.83,6930.2,5869.2,6436.26,6930.2,5869.2,6369.32,36.50514756,0.612596031,34.7724359,108.3365385,-73.56410256,6737.545266,6361.654734,0,98.56775503,0.187837188,92.83236141,92.83236141,0.057391372,6379.3
2000-04-06,6379.3,6464.9,6353.8,6451.1,1.13,0.09,-1.78,0.06,5.8,0.56,6540.2,6379.3,6451.94,6738.5,6379.3,6545.55,6738.5,6005.2,6383.49,6930.2,5869.2,6440.79,6930.2,5869.2,6369.46,36.58210584,0.660780604,17.55705128,92.40918803,-74.85213675,6738.507159,6352.592841,0.199888641,98.46663143,0.17959025,87.6829445,87.6829445,0.058958272,6451.1
2000-04-07,6451.1,6586.3,6451.1,6569.9,1.84,0.45,1.6,1,5.96,1.49,6569.9,6379.3,6457.88,6738.5,6379.3,6545.61,6738.5,6005.2,6382.01,6930.2,5939.3,6446.63,6930.2,5869.2,6369.84,34.12803763,0.689251212,8.948717949,76.32086895,-67.372151,6738.598212,6352.621788,0.530623608,98.43431651,0.190593022,89.47978554,89.47978554,0.05896722,6569.9
2000-04-10,6569.9,6579.6,6510.4,6533.4,-0.56,1.1,-0.54,-1.12,5.39,0.94,6569.9,6379.3,6472.14,6738.5,6379.3,6548.94,6738.5,6005.2,6379.75,6930.2,5939.3,6451.13,6930.2,5869.2,6369.81,30.41340436,0.676271453,2.083333333,61.14551282,-59.06217949,6738.473967,6359.396033,0.429008909,98.45724542,0.182907918,99.44870566,99.44870566,0.057883905,6533.4
2000-04-11,6533.4,6534,6358.4,6379.2,-2.36,-0.74,-2.88,-2.14,2.32,-1.45,6569.9,6379.2,6462.58,6738.5,6379.2,6543.54,6738.5,6005.2,6377.66,6930.2,5939.3,6454.24,6930.2,5869.2,6369.85,28.12903273,0.619358002,-20.60448718,44.7241453,-65.32863248,6746.179492,6340.900508,0,98.35999964,0.201785663,82.756917,82.756917,0.061935739,6379.2
2000-04-12,6379.2,6443.5,6333.6,6350.8,-0.45,-0.45,-3.32,-2.79,2.85,-1.4,6569.9,6350.8,6456.88,6738.5,6350.8,6538.73,6738.5,6005.2,6376.08,6930.2,6005.2,6457.66,6930.2,5869.2,6369.5,26.05666715,0.614607481,-44.18782051,27.35712251,-71.54494302,6755.118609,6322.341391,0,98.27888552,0.201270697,90.18521219,90.18521219,0.066186739,6350.8
2000-04-13,6350.8,6381.9,6268.4,6357,0.1,-1.46,-1.7,-2.67,3.98,-2.4,6569.9,6350.8,6438.06,6738.5,6350.8,6528.72,6738.5,6005.2,6376.22,6930.2,6005.2,6460.15,6930.2,5869.2,6368.88,25.9837281,0.520031366,-66.52820513,8.582905983,-75.11111111,6759.551354,6297.888646,0.015991746,98.12973965,0.190417554,75.43678635,75.43678635,0.070712591,6357
2000-04-14,6357,6359.1,6149.8,6178.1,-2.81,-5.96,-4.76,-7.21,2.3,-4.86,6533.4,6178.1,6359.7,6738.5,6178.1,6509.73,6738.5,6005.2,6373.41,6930.2,6005.2,6461.55,6930.2,5869.2,6367.65,28.12933553,0.476672765,-87.97115385,-10.56467236,-77.40648148,6788.04918,6231.40082,0,97.85974993,0.212767994,58.64170657,58.64170657,0.085510273,6178.1
2000-04-17,6178.1,6178.1,5915.2,5994.6,-2.97,-8.25,-8.59,-10.12,1.48,-6.63,6379.2,5994.6,6251.94,6738.5,5994.6,6478.23,6738.5,5994.6,6366.99,6930.2,5994.6,6460.74,6930.2,5869.2,6365.58,29.57784768,0.435054866,-103.4403846,-28.81894587,-74.62143875,6833.727405,6122.732595,0,97.42320779,0.227305914,46.15761669,46.15761669,0.1097514,5994.6
