date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-02-17,869.35,901.83,869.35,897.52,2.05,-7.11,-8.72,-7.25,2.73,62.66,953.22,879.5,904.16,976.05,879.5,929.47,1059.04,879.5,962.62,1059.04,791.55,929.7,1059.04,498.42,851.57,42.38845871,0.428538401,0.546538462,-5.3947151,5.941253561,992.0151341,866.9248659,0.186639047,97.93172479,0.350728766,85.82624135,1891.193182,0.134582362,897.52
2000-02-18,900.71,918.04,879.14,879.14,-2.05,-7.77,-10.43,-9.38,1.17,63.89,910.87,879.14,889.35,976.05,879.14,926.13,1059.04,879.14,960.72,1059.04,791.55,929,1059.04,498.42,852.94,40.5714912,0.465349592,-2.058525641,-2.956531339,0.898005698,992.63627,859.62373,0,97.82610418,0.349681766,86.13314832,-4520.123839,0.143621889,879.14
2000-02-21,864.61,866.32,843.65,845.32,-3.85,-7.2,-8.63,-14.88,-3.76,61.88,897.52,845.32,876.24,976.05,845.32,922.14,1059.04,845.32,958.51,1059.04,791.55,928.05,1059.04,498.42,854.23,36.46818288,0.434749567,-6.849807692,-1.6702849,-5.179522792,998.1061671,846.1738329,0,97.66342372,0.372332914,74.48321151,30955.95238,0.164760594,845.32
2000-02-22,844.11,867.68,835.97,850.02,0.56,-3.37,-8.12,-13.08,-3.23,67.17,897.52,845.32,870.3,976.05,845.32,918.3,1059.04,845.32,956.44,1059.04,791.55,927.13,1059.04,498.42,855.59,32.11013116,0.400531335,-10.07480769,-1.553326211,-8.521481481,999.9516844,836.6483156,0.035951962,97.51585708,0.350712473,82.34551222,-1897.24359,0.177832265,850.02
2000-02-23,866.14,882.79,852.89,880.67,3.61,0.13,-4.81,-9.59,-4.02,75.13,897.52,845.32,870.53,976.05,845.32,917.77,1059.04,845.32,954.97,1059.04,791.55,926.61,1059.04,498.42,857.09,31.25072059,0.475714342,-13.90057692,-2.641552707,-11.25902422,999.8977186,835.6422814,0.270404651,97.69965051,0.374734148,87.31130518,-1193.721805,0.178972332,880.67
2000-02-24,874.53,887.82,857.68,867.37,-1.51,-3.36,-6.41,-10.51,-6.98,74.02,880.67,845.32,864.5,976.05,845.32,916.86,1059.04,845.32,953.21,1059.04,791.55,926.02,1059.04,499.14,858.56,28.19684746,0.485261482,-18.97487179,-4.952606838,-14.02226496,1002.317308,831.4026916,0.168668248,97.82704376,0.364500057,82.16203527,-1679.244219,0.186412993,867.37
2000-02-25,856.06,873.08,847.14,864.76,-0.3,-1.64,-2.97,-11.1,-10.2,73.25,880.67,845.32,861.63,976.05,845.32,914.64,1059.04,845.32,951.8,1059.04,791.55,925.69,1059.04,520.06,860.02,29.13747179,0.491255366,-25.12826923,-8.124009972,-17.00425926,1002.668434,826.6115655,0.148703435,97.80980215,0.336889432,80.21696769,3790.126939,0.192487611,864.76
2000-02-28,850.36,850.48,819.01,819.01,-5.29,-3.11,-13.03,-13.71,-14.71,57.48,880.67,819.01,856.37,976.05,819.01,908.51,1059.04,819.01,949.38,1059.04,791.55,925.02,1059.04,532.29,861.21,29.54029905,0.447612297,-33.30974359,-12.09024217,-21.21950142,1005.218768,811.801232,0,97.38343192,0.379244182,67.49002063,5317.634409,0.21289533,819.01
2000-02-29,843.31,846.37,810.53,828.38,1.14,-2.55,-12.03,-14.09,-13.74,59.29,880.67,819.01,852.04,976.05,819.01,902.73,1059.04,819.01,946.58,1059.04,791.55,924.33,1059.04,532.29,861.08,30.02979463,0.427081632,-39.92884615,-16.63099003,-23.29785613,1005.322774,800.1372264,0.059666327,96.98884724,0.38306053,67.11838131,-3203.955501,0.227294481,828.38
2000-03-01,843.31,846.37,810.53,828.38,1.14,-2.55,-12.03,-14.09,-13.74,59.29,880.67,819.01,852.04,976.05,819.01,902.73,1059.04,819.01,946.58,1059.04,791.55,924.33,1059.04,532.29,861.08,36.14831369,0.413119504,-44.38608974,-21.62350427,-22.76258547,1008.795887,796.6641131,0.059666327,97.20367029,0.375337313,58.34206979,-1158.559783,0.23498917,828.38
2000-03-02,864.78,900.3,857.05,894.66,8,3.15,-5.19,-7.57,-0.48,67.55,894.66,819.01,854.84,976.05,819.01,901.03,1059.04,819.01,944.84,1059.04,791.55,923.93,1059.04,532.29,862.51,37.33274937,0.523923129,-43.49019231,-26.22702279,-17.26316952,1004.213168,797.8468318,0.481724401,97.24212807,0.476399898,66.4227435,-602.8179888,0.229033813,894.66
2000-03-03,909.81,910.02,882.48,894.83,0.02,3.48,-5.83,-7.42,-1.73,67.42,894.83,819.01,860.33,976.05,819.01,898.59,1059.04,819.01,943.62,1059.04,791.55,923.52,1059.04,532.29,863.94,35.11116311,0.509277979,-41.65884615,-30.09469373,-11.56415242,998.4836117,798.6963883,0.482806928,97.21354492,0.47641618,62.46715256,-476.5391512,0.222334127,894.83
2000-03-06,907.56,913.51,899.58,909.33,1.62,11.03,-4.3,-8.89,-3.59,68.96,909.33,819.01,869.24,976.05,819.01,896.54,1059.04,819.01,942.66,1059.04,791.55,923.29,1059.04,569.27,866.74,32.14931479,0.519186299,-39.43083333,-33.35647436,-6.074358974,989.4203058,803.6596942,0.575140092,97.24441263,0.471436018,55.96180148,-398.9692067,0.207197238,909.33
2000-03-07,907.01,907.85,893.09,907.34,-0.22,9.53,-6.76,-9.26,-3.88,68.59,909.33,828.38,886.91,976.05,819.01,893.25,1059.04,819.01,941.15,1059.04,791.55,922.93,1059.04,569.27,866.9,32.52335374,0.515298041,-35.67544872,-35.77590456,0.10045584,980.289702,806.210298,0.562468161,97.15105153,0.470271827,55.4675976,-420.5740267,0.194883184,907.34
2000-03-08,895.93,919.03,883.53,915.94,0.95,10.57,-4.71,-7.32,-2.24,60.17,915.94,894.66,904.42,976.05,819.01,890.99,1059.04,819.01,939.75,1059.04,791.55,922.55,1059.04,569.27,868.27,31.9787282,0.498351448,-29.29775641,-36.92289174,7.625135328,968.6748511,813.3051489,0.617231279,97.18010916,0.467732186,56.56805017,-548.7846563,0.174378727,915.94
2000-03-09,922.71,928.55,884.59,884.59,-3.42,-1.13,-9.37,-9.79,-6.94,54.42,915.94,884.59,902.41,966.18,819.01,886.42,1059.04,819.01,938.02,1059.04,791.55,921.74,1059.04,569.27,869.5,36.80390939,0.471851279,-24.14769231,-36.81393875,12.66624644,953.7225627,819.1174373,0.445607121,96.98387395,0.480531398,48.47631185,-413.6863426,0.151852536,884.59
2000-03-10,902.31,913.6,886.26,891.36,0.77,-0.39,-7.74,-12.45,-7.34,56.58,915.94,884.59,901.71,953.22,819.01,882.68,1059.04,819.01,936.54,1059.04,791.55,921.1,1059.04,578.98,870.78,39.78362473,0.481299481,-20.99301282,-35.44541311,14.45240028,940.7794728,824.5805272,0.539080545,96.89797599,0.481076614,54.88478707,-461.580035,0.131643342,891.36
2000-03-13,890.87,890.87,849.52,854.66,-4.12,-6.01,-10.34,-15.68,-12.87,44.66,915.94,854.66,890.78,915.94,819.01,877.75,1059.04,819.01,933.81,1059.04,791.55,920.28,1059.04,578.98,872.98,40.3687812,0.470154143,-18.37679487,-33.05074074,14.67394587,934.2518928,821.2481072,0.36779119,96.69677643,0.477296865,50.88098057,-365.0302297,0.128742564,854.66
2000-03-14,843.14,858.68,838.31,846.74,-0.93,-6.68,-7.04,-15.55,-12.58,43.32,915.94,846.74,878.66,915.94,819.01,874.54,1059.04,819.01,931.03,1059.04,791.55,919.7,1059.04,578.98,872.88,41.32853988,0.468974042,-15.01730769,-29.78754274,14.77023504,932.2064038,816.8735962,0.28608274,96.67377823,0.463368392,58.96485169,-456.3228975,0.131878253,846.74
2000-03-15,837.35,841.73,820.3,837.53,-1.09,-8.56,-4.79,-13.08,-12.09,41.47,891.36,837.53,862.98,915.94,819.01,872.43,1059.04,819.01,928.28,1059.04,791.55,918.97,1059.04,578.98,873.85,37.69729799,0.476384569,-8.716666667,-25.92381766,17.207151,931.9677976,812.8922024,0.191065718,96.7565919,0.464402669,61.85986715,-524.2468773,0.136487277,837.53
2000-03-16,847.9,860.4,832.17,841.22,0.44,-4.9,-4.35,-11.32,-8.18,39.78,891.36,837.53,854.3,915.94,819.01,870.52,1059.04,819.01,926.24,1059.04,791.55,918.2,1059.04,578.98,874.8,37.10173457,0.413607946,-2.460897436,-21.56849003,19.10759259,929.8783575,811.1616425,0.229134427,96.8613957,0.457518873,54.22395847,-381.4567769,0.136374483,841.22
2000-03-17,864.36,869.82,850.04,855.57,1.71,-4.02,-4.67,-9.87,-7.53,42.47,855.57,837.53,847.14,915.94,819.01,868.42,1059.04,819.01,924.69,1059.04,791.55,917.35,1059.04,578.98,875.82,36.22561951,0.470095212,4.059166667,-16.73626781,20.79543447,927.7046011,809.1353989,0.377179408,96.93896915,0.45796282,52.14487744,-309.7882204,0.136534398,855.57
