date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,rateYTD),5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-02-17,118.7,119.9,116.3,119,2.05,-7.11,-8.72,-7.25,2.73,62.66,62.66,953.22,879.5,904.16,976.05,879.5,929.47,1059.04,879.5,962.62,1059.04,791.55,929.7,1059.04,498.42,851.57,38.42440795,0.436544528,-0.156730769,-1.183938746,1.027207977,937.0648372,921.8751628,-7.876747799,97.93172479,0.396892033,100.5834306,416.1676647,0.016342297,119
2000-02-18,119.7,122.05,117.5,118.2,-2.05,-7.77,-10.43,-9.38,1.17,63.89,63.89,910.87,879.14,889.35,976.05,879.14,926.13,1059.04,879.14,960.72,1059.04,791.55,929,1059.04,498.42,852.94,37.37354145,0.496124031,-0.283653846,-0.804415954,0.520762108,934.1385136,918.1214864,-7.852027655,97.82610418,0.392596253,93.25084364,1035.616438,0.017294578,118.2
2000-02-21,116.15,116.15,112.3,113.05,-3.85,-7.2,-8.63,-14.88,-3.76,61.88,61.88,897.52,845.32,876.24,976.05,845.32,922.14,1059.04,845.32,958.51,1059.04,791.55,928.05,1059.04,498.42,854.23,39.82215135,0.485204206,-0.816025641,-0.571581197,-0.244444444,931.4086384,912.8713616,-5.601392182,97.66342372,0.418043444,76.39751553,800,0.020102454,113.05
2000-02-22,113.2,115.5,111.85,113.6,0.56,-3.37,-8.12,-13.08,-3.23,67.17,67.17,897.52,845.32,870.3,976.05,845.32,918.3,1059.04,845.32,956.44,1059.04,791.55,927.13,1059.04,498.42,855.59,40.58384961,0.428144526,-1.102564103,-0.468482906,-0.634081197,928.3588728,908.2411272,-5.597185038,97.51585708,0.391822839,78.29698858,-75500,0.021907596,113.6
2000-02-23,114.9,117.2,113.45,116.9,3.61,0.13,-4.81,-9.59,-4.02,75.13,75.13,897.52,845.32,870.53,976.05,845.32,917.77,1059.04,845.32,954.97,1059.04,791.55,926.61,1059.04,498.42,857.09,38.66113259,0.48419505,-1.537820513,-0.518304843,-1.01951567,927.9086948,907.6313052,-5.571942171,97.69965051,0.404241732,82.50265111,-4676.470588,0.022094195,116.9
2000-02-24,116.55,117.95,113.7,115.2,-1.51,-3.36,-6.41,-10.51,-6.98,74.02,74.02,880.67,845.32,864.5,976.05,845.32,916.86,1059.04,845.32,953.21,1059.04,791.55,926.02,1059.04,499.14,858.56,37.04562371,0.494219653,-2.159615385,-0.724821937,-1.434793447,927.5364608,906.1835392,-5.584946072,97.82704376,0.385776245,73.75886525,24166.66667,0.023289184,115.2
2000-02-25,114.1,116.2,112.85,115.25,-0.3,-1.64,-2.97,-11.1,-10.2,73.25,73.25,880.67,845.32,861.63,976.05,845.32,914.64,1059.04,845.32,951.8,1059.04,791.55,925.69,1059.04,520.06,860.02,38.03330319,0.423904786,-2.925961538,-1.04537037,-1.880591168,925.663759,903.616241,-5.584563604,97.80980215,0.365503772,67.92079208,2644,0.024105132,115.25
2000-02-28,112.3,112.9,108.3,108.65,-5.29,-3.11,-13.03,-13.71,-14.71,57.48,57.48,880.67,819.01,856.37,976.05,819.01,908.51,1059.04,819.01,949.38,1059.04,791.55,925.02,1059.04,532.29,861.21,39.65521304,0.372082685,-4.055769231,-1.476566952,-2.579202279,920.823621,896.196379,-4.52343352,97.38343192,0.41182152,58.28729282,1565.789474,0.027107288,108.65
2000-02-29,110.5,111.4,107.1,109.3,1.14,-2.55,-12.03,-14.09,-13.74,59.29,59.29,880.67,819.01,852.04,976.05,819.01,902.73,1059.04,819.01,946.58,1059.04,791.55,924.33,1059.04,532.29,861.08,39.90053481,0.339026673,-4.957051282,-1.999465812,-2.95758547,916.0987145,889.3612855,-4.519294447,96.98884724,0.401654696,60.72796935,2338.461538,0.029618412,109.3
2000-03-01,110.5,111.4,107.1,109.3,1.14,-2.55,-12.03,-14.09,-13.74,59.29,59.29,880.67,819.01,852.04,976.05,819.01,902.73,1059.04,819.01,946.58,1059.04,791.55,924.33,1059.04,532.29,861.08,46.90536573,0.315454323,-5.663782051,-2.611360399,-3.052421652,916.798625,888.661375,-4.519294447,97.20367029,0.386042281,53.54545455,2165.384615,0.031169065,109.3
2000-03-02,112.85,119.35,112.7,118.8,8,3.15,-5.19,-7.57,-0.48,67.55,67.55,894.66,819.01,854.84,976.05,819.01,901.03,1059.04,819.01,944.84,1059.04,791.55,923.93,1059.04,532.29,862.51,46.19054545,0.441033926,-5.576602564,-3.199465812,-2.377136752,914.8143962,887.2456038,-4.458800306,97.24212807,0.499423125,66.63498099,-2696.296296,0.030596975,118.8
2000-03-03,118.8,120.1,116.15,117.7,0.02,3.48,-5.83,-7.42,-1.73,67.42,67.42,894.83,819.01,860.33,976.05,819.01,898.59,1059.04,819.01,943.62,1059.04,791.55,923.52,1059.04,532.29,863.94,44.15125569,0.479789104,-5.67275641,-3.739102564,-1.933653846,912.0592007,885.1207993,-4.46580489,97.21354492,0.49982382,67.26755218,-2936,0.029978524,117.7
2000-03-06,120.7,121.25,118.7,119.35,1.62,11.03,-4.3,-8.89,-3.59,68.96,68.96,909.33,819.01,869.24,976.05,819.01,896.54,1059.04,819.01,942.66,1059.04,791.55,923.29,1059.04,569.27,866.74,41.15968459,0.491153272,-5.407051282,-4.217378917,-1.189672365,909.1971999,883.8828001,-4.455298013,97.24441263,0.493544046,60.96207216,-1162.903226,0.028235661,119.35
