date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-02-17,19646.4,19803.7,19518.1,19791.4,0.98,0.41,1.82,8.3,10.81,39.78,19791.4,19367.8,19604.98,20007.8,18878.1,19476.63,20007.8,18080.4,18877.72,20007.8,16821.1,18323.21,20007.8,13921.1,17493.85,39.11911918,0.548364974,317.475641,376.0495726,-58.57393162,20148.85681,18804.39319,0.80844472,100.2395454,0.136783183,109.2303875,185.4547506,0.069029599,19791.4
2000-02-18,19852.2,19862.9,19670,19789,-0.01,0.4,3.09,6.78,10.6,39.88,19791.4,19367.8,19620.78,20007.8,18878.1,19515.68,20007.8,18080.4,18898.66,20007.8,16821.1,18337.3,20007.8,13921.1,17516.88,34.96058069,0.60087094,298.2262821,372.8581197,-74.63183761,20127.9044,18903.4456,0.806320262,100.2671341,0.133053638,114.3793669,210.8567855,0.062742324,19789
2000-02-21,19736.2,19763.5,19543.8,19543.8,-1.24,-0.06,3.53,5.24,7.99,38.63,19791.4,19367.8,19618.24,20007.8,18895.5,19548.96,20007.8,18080.4,18914.87,20007.8,16821.1,18348.22,20007.8,13921.1,17539.1,32.26518517,0.566898165,255.425,359.7309117,-104.3059117,20114.30401,18983.61599,0.582846354,100.267056,0.140085425,96.95569015,168.1640625,0.057838781,19543.8
2000-02-22,19553.6,19712.4,19353.4,19390.6,-0.78,0.12,2.71,3.02,7.14,36.01,19791.4,19390.6,19622.8,20007.8,18895.5,19565.66,20007.8,18080.4,18924.35,20007.8,16821.1,18359.01,20007.8,13921.1,17560.06,33.13132455,0.571891843,226.175641,338.8417379,-112.6660969,20040.63591,19090.67409,0.445113728,100.1826717,0.139528746,97.794351,178.1900352,0.048552518,19390.6
2000-02-23,19439.2,19527.8,19373,19519.6,0.67,-0.41,3.4,3.71,7.05,34.61,19791.4,19390.6,19606.88,20007.8,19111.2,19596.86,20007.8,18080.4,18934.74,20007.8,16821.1,18372.88,20007.8,13921.1,17580.54,37.67920798,0.550711393,178.2692308,310.0768519,-131.8076211,20013.7711,19179.9489,0.45549855,100.1721166,0.136005477,92.4120603,162.3708623,0.042548766,19519.6
2000-02-24,19616.3,19699,19558,19571.4,0.27,-1.11,2.7,3.57,8.16,36.33,19789,19390.6,19562.88,20007.8,19209.7,19619.87,20007.8,18080.4,18948.9,20007.8,16821.1,18388.76,20007.8,13921.1,17601.83,39.63003451,0.491481453,127.5698718,276.7227208,-149.152849,19989.27237,19250.46763,0.453201353,100.1210723,0.135304777,94.76198122,182.2253243,0.037655945,19571.4
2000-02-25,19623.4,19817.9,19539,19817.9,1.26,0.15,4.88,5.85,10.99,36.95,19817.9,19390.6,19568.66,20007.8,19367.8,19650.28,20007.8,18080.4,18963.96,20007.8,16821.1,18407.24,20007.8,13921.1,17623.66,40.19507791,0.508245063,80.59487179,240.7632479,-160.1683761,20013.49263,19287.06737,0.70328125,100.1081732,0.136239127,87.00387885,168.215791,0.03696768,19817.9
2000-02-28,19783.4,19904.9,19713.9,19720.1,-0.49,0.9,1.47,4.26,12.05,37.25,19817.9,19390.6,19603.92,20007.8,19367.8,19664.55,20007.8,18080.4,18978.45,20007.8,16821.1,18422.25,20007.8,13921.1,17645.51,39.85010281,0.503524658,49.05192308,206.9381766,-157.8862536,20023.6935,19305.3965,0.55046875,100.0290633,0.136736885,88.11508579,177.8328951,0.036527517,19720.1
2000-02-29,19761.5,19978.8,19747,19959.5,1.21,2.93,2.15,7.55,14.47,38.92,19959.5,19519.6,19717.7,20007.8,19367.8,19685.54,20007.8,18080.4,19001.81,20007.8,16821.1,18443.28,20007.8,13921.1,17654.92,43.06988931,0.527672726,35.12051282,174.2121083,-139.0915954,20046.24743,19324.82257,0.92453125,99.98478937,0.140398772,107.301444,234.4350612,0.03664746,19959.5
2000-03-01,20030.1,20165.5,20007.6,20081.7,0.61,2.88,3.39,8.57,12.8,41.2,20081.7,19571.4,19830.12,20081.7,19367.8,19718.45,20081.7,18080.4,19028.24,20081.7,16821.1,18462.27,20081.7,13921.1,17678.74,43.42824171,0.552786347,33.26410256,142.6330484,-109.3689459,20112.23433,19324.66567,1,99.99620484,0.139391864,97.17221354,209.8638023,0.039940698,20081.7
2000-03-02,20097.6,20203,19903.3,20065.1,-0.08,2.52,2.48,8.38,13.8,44.13,20081.7,19720.1,19928.86,20081.7,19367.8,19742.76,20081.7,18080.4,19054.08,20081.7,16821.1,18482.55,20081.7,14170.4,17703.71,36.52963731,0.585777091,54.68397436,115.572792,-60.88881766,20164.42975,19321.09025,0.976747444,99.99507439,0.1351702,84.27326537,168.0739102,0.042716393,20065.1
