date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-02-17,1394.69,1399.83,1380.07,1388.26,0.04,-2.02,-5.25,-1.59,3.28,13.42,1402.05,1387.12,1391.01,1441.72,1360.16,1406.37,1469.25,1360.16,1421.59,1469.25,1247.41,1375.81,1469.25,1225.5,1349.06,31.48691654,0.507631709,-8.848910256,-14.12683761,5.27792735,1445.667114,1367.078886,0.344531633,97.16494382,0.219270175,55.4111915,-760.0422089,0.055880075,1388.26
2000-02-18,1388.04,1388.26,1345.29,1346.09,-3.04,-2.96,-7.49,-5.53,0.99,8.79,1402.05,1346.09,1382.8,1441.72,1346.09,1401.61,1469.25,1346.09,1420.61,1469.25,1247.41,1375.99,1469.25,1225.5,1349.49,33.43676973,0.369952143,-10.11717949,-13.33869658,3.221517094,1445.834431,1357.384569,0,96.90956868,0.241842677,49.64745142,-855.4463554,0.063105924,1346.09
2000-02-21,1388.04,1388.26,1345.29,1346.09,-3.04,-2.96,-7.49,-5.53,0.99,8.79,1402.05,1346.09,1382.8,1441.72,1346.09,1401.61,1469.25,1346.09,1420.61,1469.25,1247.41,1375.99,1469.25,1225.5,1349.49,36.75919724,0.349585523,-12.11128205,-12.83314815,0.721866097,1452.32852,1350.89048,0,96.97864629,0.223964744,47.87036023,-376.271722,0.072372541,1346.09
2000-02-22,1347.37,1358.11,1331.97,1352.17,0.45,-3.56,-6.19,-4.84,1.16,6.29,1402.05,1346.09,1375.25,1441.72,1346.09,1399.14,1469.25,1346.09,1419.53,1469.25,1247.41,1376.26,1469.25,1225.5,1350.24,35.45746921,0.305537421,-13.7825641,-12.55498575,-1.227578348,1453.632803,1344.650197,0.063578375,96.87712947,0.223300358,47.56770037,-375.6248023,0.077892483,1352.17
2000-02-23,1352.9,1370.12,1342.42,1360.69,0.63,-1.94,-5.6,-3.13,0.03,7.04,1388.26,1346.09,1366.98,1441.72,1346.09,1396.67,1469.25,1346.09,1418.6,1469.25,1247.41,1376.5,1469.25,1225.5,1350.59,33.3431883,0.278638425,-15.44570513,-12.46167379,-2.984031339,1453.217986,1340.131014,0.152671756,96.77518204,0.225064765,50.205361,-376.81764,0.080968738,1360.69
2000-02-24,1361.36,1364.49,1329.9,1353.43,-0.53,-2.51,-3.43,-4.49,-0.74,7.98,1388.26,1346.09,1360.13,1441.72,1346.09,1394.14,1469.25,1346.09,1417.69,1469.25,1247.41,1376.79,1469.25,1225.5,1350.99,31.14644971,0.267649124,-18.86205128,-12.66061254,-6.201438746,1453.416913,1334.866087,0.076754157,96.66731983,0.225314327,47.46373908,-376.9050958,0.085035003,1353.43
2000-02-25,1352.86,1362.12,1329.12,1333.36,-1.48,-0.95,-5.44,-5.91,-3.5,7.1,1360.69,1333.36,1349.15,1441.72,1333.36,1390.88,1469.25,1333.36,1416.76,1469.25,1247.41,1376.59,1469.25,1225.5,1351.34,36.0669943,0.23938259,-21.07461538,-13.2457906,-7.828824786,1454.214531,1327.548469,0,96.5055886,0.209647155,52.43124807,-392.0970266,0.09106891,1333.36
2000-02-28,1331.14,1360.82,1325.02,1348.05,1.1,0.15,-0.89,-4.84,-0.02,8.86,1360.69,1333.36,1349.54,1441.72,1333.36,1390.28,1469.25,1333.36,1415.93,1469.25,1247.41,1376.57,1469.25,1225.5,1351.77,38.90283597,0.229625032,-23.2174359,-14.69432336,-8.523112536,1456.292481,1324.259519,0.13556663,96.52269479,0.192034302,51.58223357,-393.429125,0.094968885,1348.05
2000-02-29,1353,1369.51,1348.05,1366.42,1.36,1.05,-2.01,-1.62,3.48,10.34,1366.42,1333.36,1352.39,1441.72,1333.36,1388.87,1469.25,1333.36,1415.22,1469.25,1247.41,1376.76,1469.25,1225.5,1351.83,41.20158561,0.273180993,-23.59205128,-16.33908832,-7.252962963,1454.744892,1323.003108,0.305094131,96.48298973,0.194790516,52.30453981,-375.4673963,0.094855101,1366.42
2000-03-01,1366.36,1383,1366.36,1379.19,0.93,1.36,-2.14,-1.33,3.62,11.57,1379.19,1333.36,1356.09,1441.72,1333.36,1387.37,1469.25,1333.36,1414.32,1469.25,1247.41,1377.02,1469.25,1225.5,1352.39,40.75169754,0.294729408,-23.30173077,-17.94495726,-5.356773504,1452.355474,1322.383526,0.422942045,96.43944656,0.198509562,54.52706269,-380.1596867,0.093682287,1379.19
2000-03-02,1380.59,1386.91,1370.32,1381.76,0.19,2.09,-1.94,-1.94,4.75,12.75,1381.76,1333.36,1361.76,1441.72,1333.36,1386,1469.25,1333.36,1413.63,1469.25,1247.41,1377.27,1469.25,1227.7,1353.01,40.88825644,0.293807297,-24.13371795,-19.50235043,-4.631367521,1448.091504,1323.911496,0.446659284,96.40955234,0.193610073,53.13176869,-379.5348111,0.089595869,1381.76
2000-03-03,1387.09,1410.88,1381.76,1409.17,1.98,5.69,-1.11,-1.68,3.83,14.78,1409.17,1348.05,1376.92,1441.72,1333.36,1385.21,1469.25,1333.36,1413.63,1469.25,1247.41,1377.81,1469.25,1246.64,1353.72,36.01653133,0.353310033,-22.75012821,-20.68444444,-2.065683761,1445.465766,1324.957234,0.699612403,96.42293091,0.207623363,57.94275492,-390.623598,0.086996486,1409.17
2000-03-06,1409.07,1409.81,1384.79,1391.28,-1.27,3.21,-2.32,-2.25,2.51,9.08,1409.17,1366.42,1385.56,1441.72,1333.36,1383.56,1469.25,1333.36,1413.42,1469.25,1247.41,1378.27,1469.25,1247.41,1354.6,36.24065783,0.358504838,-23.69538462,-21.78586895,-1.90951567,1440.582411,1326.531589,0.534514581,96.37743988,0.212062141,54.8721473,-384.486342,0.082433048,1391.28
2000-03-07,1397.27,1399.57,1349.6,1355.62,-2.56,-0.79,-4.82,-3.8,0.38,6.28,1409.17,1355.62,1383.4,1441.72,1333.36,1380.13,1469.25,1333.36,1412.55,1469.25,1247.41,1378.58,1469.25,1247.41,1354.61,39.76595759,0.316103932,-21.40737179,-22.44827635,1.040904558,1429.968958,1330.283042,0.205426357,96.21246541,0.223045828,45.41094674,-353.7000284,0.072229576,1355.62
2000-03-08,1359.69,1373.59,1346.5,1366.7,0.82,-0.91,-5.2,-2.65,1.68,6.55,1409.17,1355.62,1380.91,1416.83,1333.36,1376.38,1469.25,1333.36,1411.71,1469.25,1247.41,1378.99,1469.25,1247.41,1354.94,41.59864624,0.340148138,-18.05217949,-22.3582906,4.306111111,1423.284268,1329.465732,0.399424943,96.02894456,0.215869243,51.0528978,-362.5547645,0.068163499,1366.7
2000-03-09,1366.42,1401.82,1357.85,1401.69,2.56,1.44,-0.71,-0.46,4.01,9.52,1409.17,1355.62,1384.89,1416.83,1333.36,1375.87,1469.25,1333.36,1411.48,1469.25,1247.41,1379.54,1469.25,1247.41,1355.42,37.98725094,0.428562457,-13.63974359,-21.53219373,7.892450142,1420.231247,1331.517753,0.818617467,96.07164163,0.2354773,58.0982458,-409.6463932,0.064477897,1401.69
2000-03-10,1401.6,1413.38,1392.07,1395.07,-0.47,-1,-1.54,-1.55,3.21,8.41,1401.69,1355.62,1382.07,1409.17,1333.36,1374.79,1469.25,1333.36,1411.35,1469.25,1247.41,1380.03,1469.25,1247.41,1355.84,34.10781326,0.464249269,-9.62474359,-20.02189459,10.397151,1419.838071,1329.734929,0.814008706,96.06992797,0.223359546,65.34124968,-416.6989485,0.065539734,1395.07
2000-03-13,1387.08,1398.45,1365.31,1383.62,-0.82,-0.55,-0.25,-2.23,2.94,6.88,1401.69,1355.62,1380.54,1409.17,1333.36,1374.61,1469.25,1333.36,1410.85,1469.25,1247.41,1380.67,1469.25,1247.41,1356.42,36.2182607,0.49707751,-5.541602564,-18.01628917,12.47468661,1419.241637,1329.981363,0.662973223,96.12603552,0.225248126,64.86449229,-482.6150594,0.064934909,1383.62
2000-03-14,1388.88,1395.33,1359.14,1359.15,-1.77,0.26,-2.22,-3.14,1.71,4.99,1401.69,1359.15,1381.25,1409.17,1333.36,1373.07,1469.25,1333.36,1409.86,1469.25,1247.41,1381.07,1469.25,1247.41,1356.43,37.92032364,0.496860987,-0.888974359,-15.52598291,14.63700855,1415.788527,1330.355473,0.340192587,96.08486179,0.230898967,58.98105641,-433.4079045,0.062220374,1359.15
2000-03-15,1364.09,1397.99,1356.99,1392.15,2.43,1.86,-0.71,-1.5,5.63,6.49,1401.69,1359.15,1386.34,1409.17,1333.36,1372.58,1469.25,1333.36,1409.38,1469.25,1247.41,1382.01,1469.25,1247.41,1356.77,42.270759,0.5,4.692564103,-12.32306268,17.01562678,1415.722453,1329.431547,0.77549136,96.1118664,0.245187455,68.89267554,-453.4693311,0.062867807,1392.15
2000-03-16,1396.44,1458.47,1392.15,1458.47,4.76,4.05,5.1,2.8,10.62,11.64,1458.47,1359.15,1397.69,1458.47,1333.36,1376.12,1469.25,1333.36,1410.05,1469.25,1247.41,1383.51,1469.25,1247.41,1357.37,38.97832425,0.561190576,10.56455128,-8.621431624,19.18598291,1434.190238,1318.043762,1,96.4108119,0.294987959,86.70246807,-549.4446848,0.0844016,1458.47
2000-03-17,1457.4,1476.64,1453.2,1464.47,0.41,4.97,5.49,3.06,9.66,12.84,1464.47,1359.15,1411.57,1464.47,1333.36,1379.93,1469.25,1333.36,1410.57,1469.25,1247.41,1385.02,1469.25,1247.41,1358.02,40.23212213,0.551298149,15.83891026,-4.228732194,20.06764245,1449.091727,1310.763273,1,96.71450402,0.2676689,103.0482483,-582.7978972,0.100243277,1464.47
2000-03-20,1462.32,1470.23,1448.43,1456.63,-0.54,5.28,8.21,2.72,9.07,12.11,1464.47,1359.15,1426.17,1464.47,1333.36,1385.45,1469.25,1333.36,1410.91,1469.25,1247.41,1386.48,1469.25,1247.41,1358.81,41.32237965,0.58350532,19.40461538,0.305933048,19.09868234,1460.638305,1310.270695,0.940202883,97.12936665,0.269447854,115.8675252,-1487.653815,0.108533055,1456.63
2000-03-21,1456.63,1493.93,1446.04,1493.87,2.56,9.91,10.98,4.22,14.25,14.98,1493.87,1392.15,1453.12,1493.87,1333.36,1392.54,1493.87,1333.36,1411.5,1493.87,1247.41,1388.36,1493.87,1247.41,1359.34,44.42174091,0.612038636,22.46564103,4.807913105,17.65772792,1480.189509,1304.889491,1,97.59525114,0.279792444,127.0571439,-1679.52381,0.125885132,1493.87
2000-03-22,1495.39,1505.04,1487.4,1500.64,0.45,7.79,10.98,4.49,14.51,15.7,1500.64,1456.63,1474.82,1500.64,1333.36,1399.54,1500.64,1333.36,1412.23,1500.64,1247.41,1390.17,1500.64,1247.41,1360.14,44.44094787,0.616547526,27.78705128,9.410890313,18.37616097,1498.142025,1300.931975,1,98.02683656,0.279754175,125.5093438,-1595.604856,0.140910923,1500.64
2000-03-23,1501.09,1532.13,1493.76,1527.35,1.78,4.72,12.25,4.73,19.29,21.01,1527.35,1456.63,1488.59,1527.35,1333.36,1408.23,1527.35,1333.36,1413.39,1527.35,1247.41,1392.21,1527.35,1247.41,1361.19,47.13648066,0.615803336,36.72557692,14.56092593,22.164651,1519.571192,1296.894808,1,98.51139493,0.280484863,147.8449434,-1727.418673,0.158124673,1527.35
2000-03-24,1529.77,1553.11,1516.85,1527.46,0.01,4.3,12.86,4.74,19.58,20.41,1527.46,1456.63,1501.19,1527.46,1348.05,1417.94,1527.46,1333.36,1414.45,1527.46,1247.41,1394.07,1527.46,1247.41,1362.21,44.38812395,0.589299163,44.76839744,20.15092593,24.61747151,1535.462723,1300.413277,1,99.0426071,0.270552604,159.8886798,-1597.711928,0.165768493,1527.46
2000-03-27,1529.18,1534.66,1518.62,1523.86,-0.24,4.62,14.29,4.58,18.74,18.79,1527.46,1493.87,1514.64,1527.46,1355.62,1426.73,1527.46,1333.36,1415.44,1527.46,1247.41,1395.92,1527.46,1247.41,1363.44,46.16849974,0.69577687,48.11192308,25.59547009,22.51645299,1548.467623,1304.989377,0.979050279,99.49215697,0.271950212,147.574458,-1325.784314,0.170654926,1523.86
2000-03-28,1521.08,1527.2,1507.2,1507.73,-1.06,0.93,11.85,3.43,17.59,17.53,1527.46,1500.64,1517.41,1527.46,1355.62,1433.79,1527.46,1333.36,1416.08,1527.46,1247.41,1397.44,1527.46,1247.41,1364.01,43.85415936,0.693125862,51.28333333,30.77222222,20.51111111,1557.18697,1310.40103,0.885183892,99.80542281,0.276679429,138.6164956,-1694.665501,0.172120918,1507.73
2000-03-29,1509.15,1521.36,1497.32,1508.52,0.05,0.53,10.4,3.08,18.93,15.14,1527.46,1507.73,1518.98,1527.46,1355.62,1440.26,1527.46,1333.36,1416.97,1527.46,1247.41,1399.03,1527.46,1247.41,1364.79,45.48212925,0.654315509,55.67820513,35.78485043,19.8933547,1565.150965,1315.370035,0.889781192,100.0620898,0.276590947,131.0406285,-1579.548255,0.173427606,1508.52
2000-03-30,1501.65,1517.43,1474.63,1487.92,-1.37,-2.58,8.89,1.6,16,14.39,1527.46,1487.92,1511.1,1527.46,1355.62,1445.57,1527.46,1333.36,1418.45,1527.46,1247.41,1400.3,1527.46,1247.41,1365.53,43.44870085,0.612122051,61.51557692,40.86003561,20.65554131,1569.005556,1322.131444,0.769902235,100.2258372,0.283946143,126.7587767,-2399.31592,0.170779947,1487.92
2000-03-31,1494.41,1519.77,1484.53,1498.58,0.72,-1.89,9.67,2,16.83,16.5,1523.86,1487.92,1505.32,1527.46,1355.62,1450.04,1527.46,1333.36,1420.06,1527.46,1247.41,1401.66,1527.46,1247.41,1366.37,42.13517686,0.589284817,64.80205128,45.90419516,18.89785613,1574.398426,1325.679574,0.831936685,100.3218402,0.278090101,125.3417952,-2253.712297,0.17152563,1498.58
2000-04-03,1490.23,1507.08,1487.09,1505.97,0.49,-1.17,6.87,3.49,17.4,16.41,1508.52,1487.92,1501.74,1527.46,1355.62,1455.77,1527.46,1333.36,1421.76,1527.46,1247.41,1403.27,1527.46,1247.41,1367.2,45.2672165,0.618201417,62.12153846,50.31040598,11.81113248,1579.298894,1332.248106,0.874941806,100.4918846,0.271783325,140.8302737,-4409.343715,0.169704139,1505.97
2000-04-04,1510.05,1526.22,1417.22,1494.73,-0.75,-0.86,6.07,6.81,14.57,15.54,1508.52,1487.92,1499.14,1527.46,1359.15,1462.73,1527.46,1333.36,1422.65,1527.46,1247.41,1405.01,1527.46,1247.41,1367.7,44.84114272,0.602354534,59.00166667,53.77869658,5.222970085,1577.892308,1347.565692,0.805537401,100.727247,0.252158033,125.3021077,-5767.79661,0.157463628,1494.73
2000-04-05,1490.02,1506.55,1478.06,1487.37,-0.49,-1.4,5.55,6.08,14.29,12.58,1505.97,1487.37,1494.91,1527.46,1359.15,1468.76,1527.46,1333.36,1423.15,1527.46,1247.41,1406.71,1527.46,1247.41,1368.35,46.42468776,0.517984443,56.91141026,56.02156695,0.889843305,1575.043991,1362.481009,0.761808568,100.8811815,0.254166615,126.609617,23659.41176,0.144722501,1487.37
